date,symbol,actualEarningResult,estimatedEarning
2020-11-16,SNMP,0.33,-0.52
2020-11-17,NAT,-0.07,-0.04
2020-11-17,MLSS,-0.02,-0.04
2020-10-23,FCCY,0.48,0.26
2020-10-23,SPXXF,2.28,1.66
2020-10-23,HMNKF,1.32,0.99
2020-10-23,ELUXF,8.2,5.57
2020-10-23,DDAIF,2.3,1.73
2020-10-23,AXP,1.3,1.36
2020-10-23,ELUXY,0.93,0.53
2020-10-23,AIMC,0.87,0.48
2020-10-23,ALV,1.48,1.13
2020-10-23,PCRBF,0.62,0.44
2020-10-23,NBNKF,0.21,0.17
2020-10-23,ICCGF,6.51,6.17
2020-10-23,NHYKF,0.26,0.02
2020-10-23,WRTBF,0.07,0.06
2020-10-23,BNHUF,-8.9,-4.46
2020-10-23,AFXXF,1.64,1.63
2020-10-23,ATNM,-0.36,-0.44
2020-10-23,ABLZF,0.21,0.17
2020-10-23,BGAIF,1.18,2.2
2020-10-23,THLPF,4.3,2.77
2020-10-23,XVIPF,0.2,0.15
2020-10-23,DTCGF,0.95,1.41
2020-10-23,CLVSF,0.56,1
2020-10-23,ABB,0.19,0.13
2020-10-23,PLAZF,1.25,1.33
2020-10-23,SHLAF,2.24,1.75
2020-10-23,NLTBF,8.57,7.23
2020-10-23,UBSI,0.8,0.51
2020-10-23,BCLYF,3.9,1.48
2020-10-23,B,0.3,0.28
2020-10-23,CIVB,0.48,0.34
2020-10-23,MAXSF,0.05,0.04
2020-10-23,BLMN,-0.12,-0.33
2020-10-23,SBSI,0.82,0.56
2020-10-23,OFG,0.5,0.35
2020-10-23,MCBS,0.36,0.31
2020-10-23,GRC,0.31,0.28
2020-10-23,CRI,1.96,1.58
2020-10-23,TMP,1.63,1.34
2020-10-23,FHN,0.35,0.21
2020-10-23,KNKZF,-1.29,-0.55
2020-10-23,CZFS,2.04,1.67
2020-10-23,CLF,-0.03,-0.09
2020-10-23,GBX,0.16,0.3
2020-10-23,GNTX,0.48,0.41
2020-11-17,ARMK,-0.36,-0.34
2020-10-23,ESQ,0.48,0.48
2020-10-23,FGELF,26.63,12.3
2020-10-23,FHB,0.5,0.28
2020-10-23,LVZPF,0.44,0.41
2020-10-23,RVLGF,-0.02,-0.02
2020-10-23,ITW,1.83,1.49
2020-10-23,VRTS,4.49,4.42
2020-10-22,MXL,0.32,0.29
2020-10-23,TRTN,1.14,1.06
2020-10-23,VNE,-1.18,-0.94
2020-10-23,BY,0.34,0.21
2020-10-23,ICBK,0.52,0.25
2020-10-23,RBNC,0.7,0.46
2020-10-23,CSTR,0.43,0.28
2020-10-23,RNGR,-0.38,-0.45
2020-10-23,MYFW,1.2,0.46
2020-11-17,LZB,0.82,0.5
2020-11-17,TRIB,0.32,0.1
2020-11-17,BYSI,-0.48,-0.54
2020-11-17,BLMIF,0.51,0.34
2020-11-17,KSS,0.01,-0.43
2020-11-17,ECC,0.28,0.26
2020-11-17,TCNNF,0.04,0.23
2020-11-17,CURLF,-0.01,-0.02
2020-11-17,VREX,-0.04,-0.1
2020-11-17,CZZ,0.99,1.15
2020-11-17,CRLBF,-0.03,-0.08
2020-11-17,AQUA,0.29,0.22
2020-11-17,MBT,21.28,17.1
