epsEstimated,time,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,sma_5,sma_10,sma_20,ema_5,ema_10,ema_20,volatility_5,volatility_10,rsi_14,wma_5,wma_10,wma_20,lastSurp,last2Surp,lastEps,last2Eps,lastEst,last2Est,dow,month,day,year
0.82,0,49.959999,50.299999,46.25,48.169998,28.477489,917100,917100,-1.79,-3.583,48.24,-0.03583,17.293,17.276,16.357,17.229,17.05,16.518,0.028,0.025,63.295,17.266,17.284,16.859,82.05128205128204,-71.42857142857143,0.71,0.06,0.39,0.21,3,5,1,2014
-0.74,0,60.48,61.11,58.78,60.47,60.47,103418,103418,-0.01,-0.017,60.12,-0.00017,58.944,58.623,60.356,59.431,59.436,60.658,1.862,1.462,46.954,59.463,58.945,59.422,-32.14285714285713,10.16949152542372,-0.74,-0.53,-0.56,-0.59,0,8,9,2021
-0.11,1,5.83,5.89,5.65,5.85,5.85,1730500,1730500,0.02,0.343,5.79667,0.00343,5.906,5.792,5.631,5.865,5.794,5.641,0.006,0.021,60.641,5.898,5.851,5.734,-27.27272727272728,-9.090909090909086,-0.14,-0.12,-0.11,-0.11,3,8,1,2019
0.66,0,42.46,45.68,41.73,44.65,44.65,25851769,25851769,2.19,5.158,44.02,0.05158,42.376,42.263,42.145,42.571,42.311,41.942,2.233,1.492,61.63,42.435,42.411,42.197,26.984126984126988,17.821782178217816,0.8,1.19,0.63,1.01,3,12,2,2021
0.57,0,52.0,52.470001,50.209999,51.790001,51.790001,4687400,4687400,-0.21,-0.404,51.49,-0.00404,51.074,51.123,50.178,51.108,50.936,50.421,0.338,0.217,61.581,51.079,51.07,50.833,10.344827586206906,0.0,0.64,0.46,0.58,0.46,1,9,24,2013
-0.03,0,0.8092,0.8092,0.7201,0.73,0.73,575897,575897,-0.0792,-9.787,0.7531,-0.09787,0.839,0.891,0.992,0.822,0.883,0.955,0.006,0.006,22.505,0.805,0.861,0.929,95.13000000000001,-100.0,-0.001461,-0.04,-0.03,-0.02,2,3,11,2020
-1.12,0,36.459999,37.580002,35.035,37.220001,37.102898,461400,461400,0.76,2.084,36.61167,0.02084,37.055,37.768,40.841,37.323,38.254,39.755,0.201,1.145,39.187,37.129,37.338,39.134,-25.882352941176478,-46.42857142857141,-3.21,-1.64,-2.55,-1.12,3,10,22,2020
0.66,0,51.889999,52.34,50.029999,52.169998,47.646706,41600,41600,0.28,0.54,51.51333,0.0054,46.943,46.869,46.128,46.955,46.739,46.012,0.024,0.206,66.075,46.945,46.978,46.633,4.9180327868852505,12.727272727272718,0.64,0.62,0.61,0.55,3,10,19,2017
0.54,1,48.0,48.0,46.099998,46.299999,44.908596,300600,300600,-1.7,-3.542,46.8,-0.03542,45.547,45.504,45.013,45.483,45.408,45.164,0.305,0.165,48.034,45.554,45.529,45.308,4.3478260869565135,4.255319148936175,0.48,0.49,0.46,0.47,2,8,2,2017
1.51,0,320.01001,338.309998,319.299988,331.049988,331.049988,5176000,5176000,11.03998,3.45,329.55332,0.0345,298.602,293.59,294.627,303.569,297.681,295.892,263.583,164.149,73.491,303.824,296.919,294.821,102.88461538461537,14.999999999999991,2.11,1.15,1.04,1.0,3,1,31,2019
-0.39,1,5.35,5.52,5.13,5.23,5.23,1296600,1296600,-0.12,-2.243,5.29333,-0.02243,5.347,5.151,4.702,5.278,5.12,4.832,0.03,0.06,62.367,5.351,5.247,4.976,-17.85714285714285,4.615384615384619,-0.66,-0.62,-0.56,-0.65,2,11,6,2019
0.32,0,35.169998,36.040001,35.169998,35.939999,35.554249,5074800,5074800,0.77,2.189,35.71667,0.02189,35.69,35.91,35.574,35.712,35.722,35.462,0.114,0.108,60.611,35.073,35.237,35.184,-2.500000000000002,5.405405405405411,0.39,0.39,0.4,0.37,3,4,29,2021
-1.34,0,17.0,17.09,16.1,16.73,16.73,1156000,1156000,-0.27,-1.588,16.64,-0.01588,16.598,16.079,15.344,16.516,16.147,15.817,0.017,0.455,60.882,16.642,16.401,15.733,15.24390243902439,-31.932773109243705,-1.39,-1.57,-1.64,-1.19,2,10,23,2019
3.1,0,151.470001,153.830002,150.929993,151.210007,149.443115,19939600,19939600,-0.25999,-0.172,151.99,-0.00172,151.814,151.086,150.44,150.906,150.982,150.258,3.213,2.823,48.113,151.159,151.362,150.74,44.65648854961832,30.94170403587444,3.79,2.92,2.62,2.23,2,4,14,2021
0.85,0,68.029999,73.290001,67.75,71.160004,71.160004,1954900,1954900,3.13001,4.601,70.73334,0.04601,64.512,63.613,64.962,65.627,64.698,64.884,11.056,6.6,73.156,65.643,64.252,64.268,0.0,-6.666666666666672,0.77,0.7,0.77,0.75,1,7,29,2014
1.2,0,75.5,75.760002,73.019997,73.610001,70.832794,4848327,4848327,-1.89,-2.503,74.13,-0.02503,71.905,73.004,73.979,71.952,72.674,73.111,0.759,1.819,39.445,71.682,72.37,73.384,8.130081300813014,11.32075471698112,1.33,1.18,1.23,1.06,1,5,5,2015
-1.57,0,46.110001,47.790001,46.040001,47.279999,47.279999,380000,380000,1.17,2.537,47.03667,0.02537,46.638,46.366,44.72,46.511,46.111,45.325,0.876,0.778,59.417,46.499,46.503,45.723,-143.22916666666669,4.729729729729734,-4.67,-1.41,-1.92,-1.48,4,11,1,2019
0.15,0,16.04,16.939,13.55,15.17,15.17,801100,801100,-0.87,-5.424,15.21967,-0.05424,17.212,19.396,20.952,17.264,18.724,20.037,1.805,5.905,23.559,16.643,18.319,19.871,-45.45454545454546,-16.66666666666666,0.06,0.1,0.11,0.12,3,3,12,2020
0.33,1,22.35,22.35,22.02,22.16,17.294889,846500,846500,-0.19,-0.85,22.17667,-0.0085,16.593,16.324,16.461,16.583,16.481,16.43,0.035,0.121,55.545,16.652,16.473,16.4,-10.52631578947368,83.87096774193546,0.34,0.57,0.38,0.31,2,8,8,2018
0.25,0,27.35,28.09,27.18,27.48,25.774223,3215000,3215000,0.13,0.475,27.58333,0.00475,24.819,24.9,25.267,24.993,24.983,25.14,0.235,0.268,52.172,25.001,24.846,25.048,69.23076923076923,50.000000000000014,0.22,0.27,0.13,0.18,3,11,5,2020
0.5,1,73.730003,74.589996,73.309998,73.959999,68.285461,134500,134500,0.23,0.312,73.95333,0.00312,66.408,68.01,69.647,67.326,67.93,68.965,1.465,3.455,43.989,66.858,67.398,68.588,9.09090909090908,13.20754716981131,0.6,0.6,0.55,0.53,2,10,17,2018
0.31,1,8.98,9.34,8.82,9.23,9.23,12183700,12183700,0.25,2.784,9.13,0.02784,8.828,8.448,8.168,8.834,8.569,8.316,0.052,0.176,74.188,8.926,8.659,8.368,3.5714285714285547,0.0,0.29,0.24,0.28,0.24,2,1,30,2019
